z,mass_msun,concentration_ludlow16
1.000000000000000056e-01,9.508084242045727539e+11,8.409397565118441165e+00
1.012070999661269927e-01,9.502182686971864014e+11,8.405935277391130001e+00
1.024287708355362397e-01,9.496211031781810303e+11,8.402435027312657567e+00
1.036651884935962942e-01,9.490168466409217529e+11,8.398896439621919896e+00
1.049165309487880005e-01,9.484054172158985596e+11,8.395319136214137501e+00
1.061829783583324444e-01,9.477867321639272461e+11,8.391702736137180096e+00
1.074647130541285245e-01,9.471607078693828125e+11,8.388046855588232376e+00
1.087619195690033846e-01,9.465272598334621582e+11,8.384351107910896772e+00
1.100747846632799121e-01,9.458863026674827881e+11,8.380615103592688797e+00
1.114034973516647292e-01,9.452377500862235107e+11,8.376838450262948044e+00
1.127482489304609814e-01,9.445815149013046875e+11,8.373020752691216373e+00
1.141092330051093479e-01,9.439175090146220703e+11,8.369161612785950055e+00
1.154866455180618284e-01,9.432456434118255615e+11,8.365260629593791464e+00
1.168806847769915530e-01,9.425658281558605957e+11,8.361317399299181830e+00
1.182915514833436099e-01,9.418779723805653076e+11,8.357331515224496243e+00
1.197194487612301683e-01,9.411819842843367920e+11,8.353302567830592551e+00
1.211645821866744049e-01,9.404777711238668213e+11,8.349230144717859403e+00
1.226271598172076899e-01,9.397652392079503174e+11,8.345113830627726159e+00
1.241073922218236952e-01,9.390442938913778076e+11,8.340953207444639972e+00
1.256054925112944642e-01,9.383148395689111328e+11,8.336747854198540253e+00
1.271216763688519380e-01,9.375767796693520508e+11,8.332497347067835847e+00
1.286561620812404216e-01,9.368300166497062988e+11,8.328201259382863597e+00
1.302091705701433622e-01,9.360744519894509277e+11,8.323859161629863834e+00
1.317809254239898364e-01,9.353099861849108887e+11,8.319470621455463899e+00
1.333716529301446629e-01,9.345365187437497559e+11,8.315035203671680364e+00
1.349815821074874522e-01,9.337539481795823975e+11,8.310552470261445279e+00
1.366109447393846488e-01,9.329621720067153320e+11,8.306021980384670655e+00
1.382599754070595599e-01,9.321610867350211182e+11,8.301443290384822760e+00
1.399289115233653402e-01,9.313505878649561768e+11,8.296815953796070175e+00
1.416179933669657609e-01,9.305305698827263184e+11,8.292139521350957665e+00
1.433274641169281771e-01,9.297009262556083984e+11,8.287413540988636029e+00
1.450575698877342723e-01,9.288615494274370117e+11,8.282637557863649747e+00
1.468085597647137974e-01,9.280123308142622070e+11,8.277811114355289490e+00
1.485806858399051633e-01,9.271531608001883545e+11,8.272933750077489989e+00
1.503742032483499635e-01,9.262839287333991699e+11,8.268005001889326522e+00
1.521893702048245367e-01,9.254045229223826904e+11,8.263024403906081616e+00
1.540264480410158399e-01,9.245148306323582764e+11,8.257991487510860651e+00
1.558857012431456024e-01,9.236147380819217529e+11,8.252905781366823845e+00
1.577673974900484777e-01,9.227041304399123535e+11,8.247766811429977807e+00
1.596718076917102713e-01,9.217828918225136719e+11,8.242574100962590578e+00
1.615992060282712695e-01,9.208509052905994873e+11,8.237327170547141364e+00
1.635498699895000518e-01,9.199080528473303223e+11,8.232025538100929296e+00
1.655240804147440348e-01,9.189542154360162354e+11,8.226668718891238186e+00
1.675221215333624891e-01,9.179892729382529297e+11,8.221256225551103469e+00
1.695442810056469185e-01,9.170131041723431396e+11,8.215787568095695548e+00
1.715908499642363749e-01,9.160255868920151367e+11,8.210262253939298205e+00
1.736621230560316809e-01,9.150265977854483643e+11,8.204679787912885658e+00
1.757583984846164959e-01,9.140160124746192627e+11,8.199039672282316005e+00
1.778799780531896413e-01,9.129937055149796143e+11,8.193341406767114421e+00
1.800271672080164531e-01,9.119595503954772949e+11,8.187584488559890517e+00
1.822002750824038009e-01,9.109134195389353027e+11,8.181768412346322350e+00
1.843996145412067633e-01,9.098551843027998047e+11,8.175892670325783484e+00
1.866255022258720420e-01,9.087847149802717285e+11,8.169956752232563346e+00
1.888782586000249120e-01,9.077018808018348389e+11,8.163960145357677334e+00
1.911582079956070657e-01,9.066065499371933594e+11,8.157902334571307534e+00
1.934656786595709832e-01,9.054985894976365967e+11,8.151782802345833190e+00
1.958010028011380743e-01,9.043778655388411865e+11,8.145601028779443809e+00
1.981645166396269753e-01,9.032442430641276855e+11,8.139356491620386436e+00
2.005565604528595780e-01,9.020975860281877441e+11,8.133048666291790241e+00
2.029774786261515640e-01,9.009377573412958984e+11,8.126677025917077302e+00
2.054276197018932992e-01,8.997646188740214844e+11,8.120241041345968469e+00
2.079073364297303328e-01,8.985780314624603271e+11,8.113740181181094968e+00
2.104169858173491336e-01,8.973778549139969482e+11,8.107173911805162447e+00
2.129569291818758647e-01,8.961639480136213379e+11,8.100541697408711883e+00
2.155275322018954109e-01,8.949361685308110352e+11,8.093843000018450695e+00
2.181291649700988211e-01,8.936943732270008545e+11,8.087077279526154072e+00
2.207622020465659918e-01,8.924384178636564941e+11,8.080243993718125850e+00
2.234270225126913367e-01,8.911681572109687500e+11,8.073342598305231377e+00
2.261240100257606300e-01,8.898834450571925049e+11,8.066372546953457956e+00
2.288535528741865999e-01,8.885841342186417236e+11,8.059333291315047276e+00
2.316160440334113224e-01,8.872700765503677979e+11,8.052224281060155420e+00
2.344118812224833537e-01,8.859411229575351562e+11,8.045044963909052882e+00
2.372414669613175930e-01,8.845971234075187988e+11,8.037794785664837960e+00
2.401052086286468434e-01,8.832379269427397461e+11,8.030473190246690152e+00
2.430035185206724235e-01,8.818633816942648926e+11,8.023079619723608502e+00
2.459368139104229356e-01,8.804733348961862793e+11,8.015613514348688184e+00
2.489055171078294326e-01,8.790676329008084717e+11,8.008074312593858934e+00
2.519100555205262548e-01,8.776461211946588135e+11,8.000461451185127970e+00
2.549508617153851131e-01,8.762086444153489990e+11,7.992774365138307857e+00
2.580283734807920504e-01,8.747550463693073730e+11,7.985012487795200009e+00
2.611430338896766901e-01,8.732851700504057617e+11,7.977175250860249811e+00
2.642952913633019874e-01,8.717988576595042725e+11,7.969262084437650273e+00
2.674855997358236981e-01,8.702959506249388428e+11,7.961272417068894214e+00
2.707144183196295018e-01,8.687762896239746094e+11,7.953205675770756322e+00
2.739822119714665494e-01,8.672397146052487793e+11,7.945061286073703322e+00
2.772894511593681499e-01,8.656860648122302246e+11,7.936838672060722466e+00
2.806366120303867007e-01,8.641151788077188721e+11,7.928537256406556821e+00
2.840241764791454071e-01,8.625268944994111328e+11,7.920156460417334898e+00
2.874526322172176740e-01,8.609210491665563965e+11,7.911695704070582202e+00
2.909224728433428830e-01,8.592974794877321777e+11,7.903154406055651116e+00
2.944341979144907695e-01,8.576560215697620850e+11,7.894531983814458087e+00
2.979883130177828909e-01,8.559965109778055420e+11,7.885827853582657809e+00
3.015853298432829011e-01,8.543187827666437988e+11,7.877041430431097169e+00
3.052257662576652320e-01,8.526226715131912842e+11,7.868172128307687530e+00
3.089101463787724544e-01,8.509080113502580566e+11,7.859219360079550576e+00
3.126390006510734176e-01,8.491746360015927734e+11,7.850182537575553177e+00
3.164128659220323270e-01,8.474223788182320557e+11,7.841061071629120249e+00
3.202322855193986961e-01,8.456510728161843262e+11,7.831854372121409114e+00
3.240978093294310525e-01,8.438605507154798584e+11,7.822561848024744080e+00
3.280099938760649980e-01,8.420506449806087646e+11,7.813182907446428516e+00
3.319694024010361177e-01,8.402211878623824463e+11,7.803716957672780730e+00
3.359766049449711134e-01,8.383720114412418213e+11,7.794163405213535789e+00
3.400321784294564331e-01,8.365029476720429688e+11,7.784521655846520005e+00
3.441367067400992741e-01,8.346138284303509521e+11,7.774791114662597202e+00
3.482907808105896730e-01,8.327044855602656250e+11,7.764971186110957824e+00
3.524949987077777291e-01,8.307747509238140869e+11,7.755061274044659392e+00
3.567499657177787276e-01,8.288244564519335938e+11,7.745060781766490265e+00
3.610562944331160984e-01,8.268534341970783691e+11,7.734969112075107844e+00
3.654146048409177006e-01,8.248615163874735107e+11,7.724785667311514281e+00
3.698255244121754770e-01,8.228485354830516357e+11,7.714509849405805753e+00
3.742896881920839136e-01,8.208143242330930176e+11,7.704141059924269896e+00
3.788077388914674049e-01,8.187587157356049805e+11,7.693678700116763025e+00
3.833803269793128465e-01,8.166815434984641113e+11,7.683122170964479913e+00
3.880081107764176696e-01,8.145826415023497314e+11,7.672470873228027344e+00
3.926917565501698570e-01,8.124618442654984131e+11,7.661724207495882233e+00
3.974319386104704366e-01,8.103189869103063965e+11,7.650881574233216575e+00
4.022293394068152672e-01,8.081539052318048096e+11,7.639942373831131839e+00
4.070846496265478898e-01,8.059664357680357666e+11,7.628906006656309913e+00
4.119985682942980953e-01,8.037564158723599854e+11,7.617771873101108149e+00
4.169718028726223658e-01,8.015236837877110596e+11,7.606539373634105594e+00
4.220050693638568995e-01,7.992680787228349609e+11,7.595207908851207890e+00
4.270990924132023192e-01,7.969894409305272217e+11,7.583776879527213133e+00
4.322546054130507742e-01,7.946876117879022217e+11,7.572245686667997688e+00
4.374723506085742009e-01,7.923624338787095947e+11,7.560613731563281092e+00
4.427530792045852315e-01,7.900137510777260742e+11,7.548880415840082847e+00
4.480975514736901255e-01,7.876414086372423096e+11,7.537045141516820479e+00
4.535065368657448803e-01,7.852452532756665039e+11,7.525107311058200743e+00
4.589808141186351165e-01,7.828251332682628174e+11,7.513066327430912850e+00
4.645211713703905065e-01,7.803808985400489502e+11,7.500921594160145922e+00
4.701284062726552304e-01,7.779124007608630371e+11,7.488672515387079009e+00
4.758033261055259477e-01,7.754194934426258545e+11,7.476318495927339214e+00
4.815467478937768275e-01,7.729020320388063965e+11,7.463858941330530072e+00
4.873594985244883437e-01,7.703598740461101074e+11,7.451293257940905690e+00
4.932424148660941032e-01,7.677928791084020996e+11,7.438620852959286545e+00
4.991963438888668558e-01,7.652009091228746338e+11,7.425841134506266705e+00
5.052221427868565096e-01,7.625838283484743652e+11,7.412953511686872332e+00
5.113206791013028552e-01,7.599415035165920410e+11,7.399957394656692777e+00
5.174928308455349901e-01,7.572738039440273438e+11,7.386852194689678797e+00
5.237394866313811459e-01,7.545806016482303467e+11,7.373637324247637181e+00
5.300615457971022959e-01,7.518617714648254395e+11,7.360312197051618099e+00
5.364599185368713608e-01,7.491171911674191895e+11,7.346876228155279520e+00
5.429355260318148302e-01,7.463467415896907959e+11,7.333328834020351294e+00
5.494893005826363419e-01,7.435503067497636719e+11,7.319669432594429814e+00
5.561221857438408689e-01,7.407277739768546143e+11,7.305897443391121904e+00
5.628351364595794992e-01,7.378790340401917725e+11,7.292012287572836371e+00
5.696291192011340154e-01,7.350039812801936035e+11,7.278013388036272957e+00
