z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+06,1.000000000000000000e+09,1.000000000000000000e+12,2.499776526360636808e+01,1.977971607318945146e+01,1.437676159655564234e+01,8.710309181668687728e+00
2.999999999999999889e-02,9.941435377849716133e+02,9.929081476084848400e+05,9.906509647491292953e+08,9.851933780143426514e+11,2.466112778625425150e+01,1.952168589010078747e+01,1.419915679267466757e+01,8.616957674249693611e+00
5.999999999999999778e-02,9.882381099904067696e+02,9.857629072064306820e+05,9.812554100016310215e+08,9.704222203692976074e+11,2.433452589372321384e+01,1.927121963450995068e+01,1.402666657398013150e+01,8.526321818412828435e+00
8.999999999999999667e-02,9.822896195886241912e+02,9.785719060345670441e+05,9.718237330307185650e+08,9.557016493160825195e+11,2.401731743554531917e+01,1.902783413547419755e+01,1.385896409545890151e+01,8.438226225077189113e+00
1.199999999999999956e-01,9.763034870559395131e+02,9.713421392760422314e+05,9.623654343783717155e+08,9.410452578290076904e+11,2.370891898809544074e+01,1.879109039000423920e+01,1.369575242853453823e+01,8.352511561837351550e+00
1.499999999999999944e-01,9.702846989606678108e+02,9.640800330738965422e+05,9.528892062454972267e+08,9.264652613712974854e+11,2.340879914649844906e+01,1.856058852766400946e+01,1.353676115500405430e+01,8.269032725505269354e+00
1.799999999999999933e-01,9.642378505277940803e+02,9.567914998167095473e+05,9.434030102195364237e+08,9.119726318872753906e+11,2.311647273473950648e+01,1.833596346319280102e+01,1.338174342561957353e+01,8.187657264207320651e+00
2.099999999999999922e-01,9.581671830627319650e+02,9.494819868164282525e+05,9.339141458692703247e+08,8.975772164991826172e+11,2.283149578848236771e+01,1.811688112829612862e+01,1.323047340992415677e+01,8.108264009581908738e+00
2.399999999999999911e-01,9.520766169685189197e+02,9.421565193148856051e+05,9.244293114838980436e+08,8.832878429862901611e+11,2.255346119114593151e+01,1.790303519321199843e+01,1.308274407705091846e+01,8.030741886667591700e+00
2.700000000000000178e-01,9.459697809705713780e+02,9.348197386030898197e+05,9.149546580276916027e+08,8.691124137965244141e+11,2.228199486466136392e+01,1.769414420425898626e+01,1.293836525769933843e+01,7.954988874721371062e+00
2.999999999999999889e-01,9.398500380649526278e+02,9.274759359127958305e+05,9.054958372130520344e+08,8.550579900717468262e+11,2.201675243315694175e+01,1.748994907615044880e+01,1.279716194597527412e+01,7.880911096763458801e+00
3.299999999999999600e-01,9.337205086255391961e+02,9.201290826375087490e+05,8.960580444561362267e+08,8.411308669455620117e+11,2.175741629145217715e+01,1.729021088805497897e+01,1.265897280665147662e+01,7.808422019339948505e+00
3.599999999999999867e-01,9.275840910390234058e+02,9.127828573555755429e+05,8.866460573645530939e+08,8.273366411880507812e+11,2.150369302135182181e+01,1.709470894069227143e+01,1.252364885900627023e+01,7.737441747006935877e+00
3.900000000000000133e-01,9.214434801816341860e+02,9.054406700579250464e+05,8.772642703113503456e+08,8.136802721179869385e+11,2.125531110782367250e+01,1.690323903855741960e+01,1.239105231298539600e+01,7.667896398506765188e+00
4.199999999999999845e-01,9.153011840056234405e+02,8.981056839246232994e+05,8.679167255699990988e+08,8.001661365742529297e+11,2.101201891462566351e+01,1.671561196696496765e+01,1.226105553720822172e+01,7.599717553637552747e+00
4.499999999999999556e-01,9.091595384652681560e+02,8.907808349455450661e+05,8.586071414184477329e+08,7.867980786297979736e+11,2.077358288512813900e+01,1.653165213823090340e+01,1.213354014146077553e+01,7.532841761495608246e+00
4.799999999999999822e-01,9.030207209799852990e+02,8.834688496394229587e+05,8.493389375642342567e+08,7.735794546399656982e+11,2.053978593920673035e+01,1.635119638515087104e+01,1.200839615890994416e+01,7.467210102163667429e+00
5.100000000000000089e-01,8.968867626050672470e+02,8.761722610909072682e+05,8.401152581952826977e+08,7.605131741394339600e+11,2.031042604135488716e+01,1.617409288313377402e+01,1.188552131543370116e+01,7.402767795079328472e+00
5.400000000000000355e-01,8.907595590576477207e+02,8.688934234959754394e+05,8.309389929208450317e+08,7.476017370360008545e+11,2.008531491874005326e+01,1.600020018502757324e+01,1.176482037527043722e+01,7.339463848289957681e+00
5.699999999999999512e-01,8.846408807260627327e+02,8.616345253811322618e+05,8.218127958328754902e+08,7.348472674930772705e+11,1.986427691092940506e+01,1.582938635492338264e+01,1.164620455370964791e+01,7.277250743616619388e+00
5.999999999999999778e-01,8.785323817742139454e+02,8.543976016406239942e+05,8.127391028889535666e+08,7.222515448444681396e+11,1.964714793554042771e+01,1.566152818911948508e+01,1.152959098882677935e+01,7.216084153437720694e+00
6.300000000000000044e-01,8.724356084384080532e+02,8.471845445177430520e+05,8.037201477928789854e+08,7.098160318434957275e+11,1.943377455621051908e+01,1.549651051403008317e+01,1.141490226534863162e+01,7.155922685384981996e+00
6.599999999999999201e-01,8.663520066020109880e+02,8.399971136407369049e+05,7.947579765275895596e+08,6.975419005127496338e+11,1.922401314109468373e+01,1.533422555218442795e+01,1.130206598465519185e+01,7.096727651738344633e+00
6.899999999999999467e-01,8.602829287228449857e+02,8.328369452104341472e+05,7.858544606765553951e+08,6.854300558297724609e+11,1.901772910164482155e+01,1.517457234861993776e+01,1.119101437570710189e+01,7.038462860726830250e+00
7.199999999999999734e-01,8.542296401792642655e+02,8.257055604251507903e+05,7.770113096538009644e+08,6.734811574571654053e+11,1.881479620274247821e+01,1.501745625096203973e+01,1.108168394235643461e+01,6.981094427301447247e+00
7.500000000000000000e-01,8.481933250930860595e+02,8.186043732184257824e+05,7.682300819488509893e+08,6.616956397022331543e+11,1.861509593638641391e+01,1.486278843733057009e+01,1.097401514307175674e+01,6.924590601253703959e+00
7.800000000000000266e-01,8.421750916808070997e+02,8.115346973764685681e+05,7.595121954808470011e+08,6.500737298709333496e+11,1.841851695210544193e+01,1.471048548693981850e+01,1.086795209960025765e+01,6.868921610817402268e+00
8.099999999999999423e-01,8.361759771786967121e+02,8.044977530946391635e+05,7.508589371455892324e+08,6.386154651630942383e+11,1.822495453810200772e+01,1.456046898888613228e+01,1.076344233151404772e+01,6.814059520118846969e+00
8.399999999999999689e-01,8.301969523822460815e+02,7.974946730257046875e+05,7.422714716300843954e+08,6.273207082402535400e+11,1.803431014785270747e+01,1.441266518515779360e+01,1.066043651395351866e+01,6.759978099036936250e+00
