z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+06,1.000000000000000000e+09,1.000000000000000000e+12,3.580078437781865119e+01,2.167883556948028811e+01,1.327535361700839367e+01,7.921727580839963423e+00
2.999999999999999889e-02,9.958613302133022671e+02,9.939746445663020713e+05,9.908278034547024965e+08,9.852303780722309570e+11,3.527761989228640260e+01,2.138297944957790975e+01,1.311554680637339843e+01,7.851776239462687101e+00
5.999999999999999778e-02,9.916825408760887512e+02,9.878865441145991208e+05,9.815912343514103889e+08,9.704723935941580811e+11,3.475848472184337368e+01,2.108937945770225042e+01,1.295692440535259138e+01,7.782304859561453902e+00
8.999999999999999667e-02,9.874674639694355847e+02,9.817427947349956958e+05,9.723018850907123089e+08,9.557434563982001953e+11,3.424386993856906258e+01,2.079830959363090415e+01,1.279963254991882593e+01,7.713377473249058092e+00
1.199999999999999956e-01,9.832196225999820172e+02,9.755499173115262529e+05,9.629703657150931358e+08,9.410592647109741211e+11,3.373421154232021735e+01,2.051001317146796055e+01,1.264380111974386622e+01,7.645051251139752146e+00
1.499999999999999944e-01,9.789422625492107954e+02,9.693139149941244395e+05,9.536063999293091297e+08,9.264339726476983643e+11,3.322989223403146042e+01,2.022470375342681592e+01,1.248954418136052524e+01,7.577376619462145690e+00
1.799999999999999933e-01,9.746383798613182989e+02,9.630403235890439246e+05,9.442189096030566692e+08,9.118803383076149902e+11,3.273124344036965283e+01,1.994256623348812596e+01,1.233696051975089780e+01,7.510397427103487900e+00
2.099999999999999922e-01,9.703107450554932711e+02,9.567342559004806681e+05,9.348160894016021490e+08,8.974098551525799561e+11,3.223854754269972744e+01,1.966375804347610412e+01,1.218613424274729873e+01,7.444151154612291599e+00
2.399999999999999911e-01,9.659619244494342638e+02,9.504004408834892092e+05,9.254054729190745354e+08,8.830328689201317139e+11,3.175204026464550466e+01,1.938841045496423732e+01,1.203713544319531792e+01,7.378669157546263513e+00
2.700000000000000178e-01,9.615942990006315085e+02,9.440432583279516548e+05,9.159939914683382511e+08,8.687586819698314209e+11,3.127191317483141475e+01,1.911662995181792013e+01,1.189002090465880634e+01,7.313976937013157986e+00
2.999999999999999889e-01,9.572100810064783900e+02,9.376667696787356399e+05,9.065880265004836321e+08,8.545956466716436768e+11,3.079831626449857396e+01,1.884849965001566829e+01,1.174483483750202062e+01,7.250094430800428036e+00
3.299999999999999600e-01,9.528113289506131878e+02,9.312747455030245474e+05,8.971934564780131578e+08,8.405512492053248291e+11,3.033136056342905817e+01,1.858408074357036455e+01,1.160160963341755469e+01,7.187036319109107119e+00
3.599999999999999867e-01,9.483999607386944035e+02,9.248706900381064042e+05,8.878156989025721550e+08,8.266321849405252686e+11,2.987112076181603015e+01,1.832341395780532878e+01,1.146036662783371263e+01,7.124812339580889109e+00
3.900000000000000133e-01,9.439777655302323183e+02,9.184578631884941133e+05,8.784597480955898762e+08,8.128444264009907227e+11,2.941763781023038504e+01,1.806652099384183430e+01,1.132111686108782145e+01,7.063427607017326082e+00
4.199999999999999845e-01,9.395464143426960391e+02,9.120393002875884995e+05,8.691302092446570396e+08,7.991932846767910156e+11,2.897092147452211108e+01,1.781340595085121947e+01,1.118386183075347340e+01,7.002882933919922337e+00
4.499999999999999556e-01,9.351074695787275459e+02,9.056178298942326801e+05,8.598313291567142010e+08,7.856834650310938721e+11,2.853095282593201532e+01,1.756405671460445106e+01,1.104859422861491325e+01,6.943175148524262319e+00
4.799999999999999822e-01,9.306623936060149163e+02,8.991960898568157572e+05,8.505670240987297297e+08,7.723191173487486572e+11,2.809768666067252596e+01,1.731844630885484904e+01,1.091529866020602668e+01,6.884297409090523345e+00
5.100000000000000089e-01,9.262125565014803215e+02,8.927765418458200293e+05,8.413409050554969311e+08,7.591038819897215576e+11,2.767105381998269920e+01,1.707653419281851370e+01,1.078395233753137816e+01,6.826239509842236153e+00
5.400000000000000355e-01,9.217592430562979189e+02,8.863614845288282959e+05,8.321563006908757687e+08,7.460409315386840820e+11,2.725096343295232160e+01,1.683826751733455040e+01,1.065452575175887873e+01,6.768988181504393964e+00
5.699999999999999512e-01,9.173036591254530094e+02,8.799530655391735490e+05,8.230162782619359493e+08,7.331330088807500000e+11,2.683730506180084419e+01,1.660358232796017219e+01,1.052698331928320208e+01,6.712527383183594765e+00
5.999999999999999778e-01,9.128469373946346650e+02,8.735532923699744279e+05,8.139236627039802074e+08,7.203824619807705078e+11,2.642995076193173887e+01,1.637240472191821183e+01,1.040128400486097604e+01,6.656838587156160614e+00
6.300000000000000044e-01,9.083901426279608131e+02,8.671640423086645314e+05,8.048810540774294138e+08,7.077912756983575439e+11,2.602875706372991260e+01,1.614465196277597059e+01,1.027738192386264870e+01,6.601901057381161841e+00
6.599999999999999201e-01,9.039342764520524725e+02,8.607870715128761949e+05,7.958908435443670750e+08,6.953611009317591553e+11,2.563356688848941189e+01,1.592023355985324962e+01,1.015522692742381672e+01,6.547692123382709894e+00
6.899999999999999467e-01,8.994802817251538727e+02,8.544240233162620571e+05,7.869552280225286484e+08,6.830932813499132080e+11,2.524421141482746833e+01,1.569905232164836484e+01,1.003476517556088332e+01,6.494187451753853146e+00
7.199999999999999734e-01,8.950290465340789297e+02,8.480764358422757359e+05,7.780762236472387314e+08,6.709888779426596680e+11,2.486051191582162190e+01,1.548100539481472282e+01,9.915939704571696822e+00,6.441361318121177071e+00
7.500000000000000000e-01,8.905814078566983198e+02,8.417457489947698778e+05,7.692556781567902565e+08,6.590486915935487061e+11,2.448228159087299005e+01,1.526598530240055140e+01,9.798690996261120389e+00,6.389186882966247261e+00
7.800000000000000266e-01,8.861381549232644375e+02,8.354333108863343950e+05,7.604952823037328720e+08,6.472732838573840332e+11,2.410932741988170847e+01,1.505388099714053141e+01,9.682957557691770134e+00,6.337636475213369813e+00
8.099999999999999423e-01,8.817000323060466371e+02,8.291403837584030116e+05,7.517965803831650019e+08,6.356629961051253662e+11,2.374145207058410989e+01,1.484457894748327433e+01,9.568676521216412212e+00,6.286681887936994784e+00
8.399999999999999689e-01,8.772677427634254173e+02,8.228681494411281310e+05,7.431609799591916800e+08,6.242179671816585693e+11,2.337845589263010027e+01,1.463796427562722968e+01,9.455784275430737296e+00,6.236294690878914082e+00
8.699999999999999956e-01,8.728419498616834744e+02,8.166177143957720837e+05,7.345897608620208502e+08,6.129381497068839111e+11,2.302013903384179727e+01,1.443392196792963489e+01,9.344217138285470625e+00,6.186446564639248358e+00
8.999999999999999112e-01,8.684232803951924780e+02,8.103901143777569523e+05,7.260840835205146074e+08,6.018233251373033447e+11,2.266630371462125737e+01,1.423233817837767567e+01,9.233912083763728518e+00,6.137109661339993139e+00
9.299999999999999378e-01,8.640123266234708126e+02,8.041863187544629909e+05,7.176449966883084774e+08,5.908731176935639648e+11,2.231675669503695048e+01,1.403310164500546975e+01,9.124807533059492215e+00,6.088256996156076184e+00
9.599999999999999645e-01,8.596096483416275760e+02,7.980072345083211549e+05,7.092734446156717539e+08,5.800870072490410156e+11,2.197131196490328975e+01,1.383610523673734249e+01,9.016844219825662421e+00,6.039862873242211272e+00
9.899999999999999911e-01,8.552157747989857626e+02,7.918537099525936646e+05,7.009702737140477896e+08,5.694643412653242188e+11,2.162979367919948714e+01,1.364124764357438835e+01,8.909966136481413557e+00,5.991903348108865046e+00
1.020000000000000018e+00,8.508312064791609828e+02,7.857265381844737567e+05,6.927362387555742264e+08,5.590043458523001709e+11,2.129203934834587386e+01,1.344843521567977795e+01,8.804121564424452373e+00,5.944356726259610646e+00
1.050000000000000044e+00,8.464564167535289698e+02,7.796264602976815077e+05,6.845720086457678080e+08,5.487061360232179565e+11,2.095790327403710052e+01,1.325758394610565460e+01,8.699264184923707788e+00,5.897204094742557245e+00
